Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,depth (ft),Chlorophyll RFU,Chlorophyll ug/L,fDOM QSU,fDOM RFU,ODO % sat,ODO mg/L,SpCond S/cm,BGA PC RFU,BGA PC ug/L,Turbidity FNU,pH,Temp C,,Vertical Position m,Battery V,Cable Pwr V,Pressure psi a,pH mV
8/20/2019,9:00:00,0,Owasco Lake Profile,0.316,1.036796,-0.1,0.3,3.16,1.05,93.1,8.19,0.7,0.03,0.07,43.75,7.46,21.69,,0.315,5.53,11.3,0.448,-44.5
8/20/2019,9:00:05,0,Owasco Lake Profile,0.316,1.036796,-0.11,0.26,3.24,1.07,93.1,8.19,0.7,0.01,0.06,8.9,7.46,21.7,,0.317,5.53,11.3,0.449,-44.5
8/20/2019,9:00:10,0,Owasco Lake Profile,0.316,1.036796,-0.11,0.26,3.23,1.07,93.1,8.19,0.7,0.03,0.07,9.12,7.46,21.71,,0.317,5.53,11.3,0.449,-44.4
8/20/2019,9:00:15,0,Owasco Lake Profile,0.317,1.040077,-0.09,0.32,3.26,1.08,93.1,8.18,0.7,0.04,0.08,37.27,7.46,21.728,,0.317,5.53,11.3,0.449,-44.4
8/20/2019,9:00:20,0,Owasco Lake Profile,0.317,1.040077,-0.1,0.29,3.28,1.09,93.1,8.18,0.7,0.04,0.08,12.25,7.46,21.745,,0.318,5.53,11.3,0.45,-44.3
8/20/2019,9:00:25,0,Owasco Lake Profile,0.317,1.040077,-0.12,0.22,3.24,1.08,93.1,8.18,0.7,0.05,0.09,8.01,7.46,21.763,,0.32,5.53,11.3,0.45,-44.3
8/20/2019,9:00:30,0,Owasco Lake Profile,0.318,1.043358,-0.13,0.14,3.22,1.07,93.1,8.18,0.7,0.04,0.08,11.35,7.46,21.779,,0.32,5.53,11.3,0.451,-44.2
8/20/2019,9:00:35,0,Owasco Lake Profile,0.318,1.043358,-0.12,0.21,3.18,1.06,93.1,8.18,0.7,0.04,0.09,8.91,7.46,21.796,,0.32,5.12,0,0.451,-44.1
8/20/2019,9:00:40,0,Owasco Lake Profile,0.318,1.043358,-0.1,0.3,3.18,1.05,93.1,8.17,0.7,0.05,0.09,5.39,7.46,21.813,,0.32,5.12,0,0.452,-44
8/20/2019,9:00:45,0,Owasco Lake Profile,0.312,1.023672,-0.07,0.41,3.45,1.15,93.1,8.17,0.7,0.06,0.1,5.71,7.46,21.827,,0.201,5.11,0,0.442,-44.1
8/20/2019,9:00:50,0,Owasco Lake Profile,0.296,0.971176,-0.04,0.56,4.24,1.41,92.9,8.15,0.7,0.09,0.13,9.14,7.46,21.842,,0.198,5.11,0,0.42,-44.1
8/20/2019,9:00:55,0,Owasco Lake Profile,0.28,0.91868,-0.03,0.58,4.47,1.49,92.6,8.12,0.7,0.15,0.19,8.77,7.46,21.857,,0.199,5.11,0,0.397,-44
8/20/2019,9:01:00,0,Owasco Lake Profile,0.264,0.866184,-0.05,0.51,4.65,1.55,92.3,8.09,0.7,0.18,0.22,14.29,7.45,21.874,,0.199,5.11,0,0.374,-43.8
8/20/2019,9:01:05,0,Owasco Lake Profile,0.248,0.813688,-0.02,0.62,4.56,1.52,92.2,8.08,0.7,0.21,0.25,9.16,7.45,21.89,,0.199,5.1,0,0.352,-43.6
8/20/2019,9:01:10,0,Owasco Lake Profile,0.232,0.761192,-0.01,0.69,4.14,1.38,92.2,8.08,0.7,0.2,0.24,29.83,7.44,21.906,,0.198,5.1,0,0.329,-43.3
